source_list,title,year,doi,resolve_method,pdf_url,landing_url,status,file_path,note
openalex_seed_matches,Advanced monitoring of machining operations,2010,https://doi.org/10.1016/j.cirp.2010.05.010,title_search,https://escholarship.org/content/qt4h56k1ch/qt4h56k1ch.pdf?t=lfa55o,http://www.escholarship.org/uc/item/4h56k1ch,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2010_advanced-monitoring-of-machining-operations.pdf,existing_pdf_url:ok
openalex_seed_matches,A Novel Deep Learning Method for Intelligent Fault Diagnosis of Rotating Machinery Based on Improved CNN-SVM and Multichannel Data Fusion,2019,https://doi.org/10.3390/s19071693,title_search,https://www.mdpi.com/1424-8220/19/7/1693/pdf?version=1555049709,https://doi.org/10.3390/s19071693,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2019_a-novel-deep-learning-method-for-intelligent-fault-diagnosis-of-rotating-machinery-based-on-improved-cnn-svm-and-multich.pdf,existing_pdf_url:ok
openalex_seed_matches,Sensorless induction motor and permanent magnet synchronous motor drives using natural field orientation,2002,https://doi.org/10.1108/03321640210416403,title_search,,https://doi.org/10.1108/03321640210416403,failed,,exhausted_or_nonpdf
openalex_seed_matches,Fault Diagnosis and Fault-Tolerant Control of PMSM Drives–State of the Art and Future Challenges,2022,https://doi.org/10.1109/access.2022.3180153,title_search,https://ieeexplore.ieee.org/ielx7/6287639/6514899/09787503.pdf,https://doi.org/10.1109/access.2022.3180153,failed,,exhausted_or_nonpdf
openalex_seed_matches,Recent developments in sensorless and quasi‐sensorless drive,2002,https://doi.org/10.1108/03321640210416395,title_search,,https://doi.org/10.1108/03321640210416395,failed,,exhausted_or_nonpdf
openalex_seed_matches,Elimination of position sensors in switched reluctance motor drives: state of the art and future trends,2002,https://doi.org/10.1109/41.982246,title_search,,https://doi.org/10.1109/41.982246,failed,,exhausted_or_nonpdf
openalex_seed_matches,Position and Speed Control of Brushless DC Motors Using Sensorless Techniques and Application Trends,2010,https://doi.org/10.3390/s100706901,title_search,https://www.mdpi.com/1424-8220/10/7/6901/pdf?version=1403312733,https://doi.org/10.3390/s100706901,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2010_position-and-speed-control-of-brushless-dc-motors-using-sensorless-techniques-and-application-trends.pdf,existing_pdf_url:ok
openalex_seed_matches,Direct Torque Control of Multiphase Doubly Converter-fed Asynchronous Machines Incorporating the Harmonic Torques,2018,https://doi.org/10.25046/aj030405,title_search,https://astesj.com/?smd_process_download=1&download_id=4285,https://doi.org/10.25046/aj030405,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2018_direct-torque-control-of-multiphase-doubly-converter-fed-asynchronous-machines-incorporating-the-harmonic-torques.pdf,existing_pdf_url:ok
openalex_seed_matches,Artificial Intelligence Based MPPT Techniques for Solar Power System: A review,2020,https://doi.org/10.35833/mpce.2020.000159,title_search,https://ieeexplore.ieee.org/ielx7/8685265/9275608/09237072.pdf,https://doi.org/10.35833/mpce.2020.000159,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2020_artificial-intelligence-based-mppt-techniques-for-solar-power-system-a-review.pdf,existing_pdf_url:ok
openalex_seed_matches,A Neural-Network-Based Model Predictive Control of Three-Phase Inverter With an Output $LC$ Filter,2019,https://doi.org/10.1109/access.2019.2938220,title_search,https://ieeexplore.ieee.org/ielx7/6287639/8600701/08819887.pdf,https://doi.org/10.1109/access.2019.2938220,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2019_a-neural-network-based-model-predictive-control-of-three-phase-inverter-with-an-output-lc-filter.pdf,existing_pdf_url:ok
