source_list,title,year,doi,resolve_method,pdf_url,landing_url,status,file_path,note,cluster
openalex_seed_matches,Sensorless induction motor and permanent magnet synchronous motor drives using natural field orientation,2002,https://doi.org/10.1108/03321640210416403,title_search,,https://doi.org/10.1108/03321640210416403,failed,,exhausted_or_nonpdf,own
openalex_seed_matches,Recent developments in sensorless and quasi‐sensorless drive,2002,https://doi.org/10.1108/03321640210416395,title_search,,https://doi.org/10.1108/03321640210416395,failed,,exhausted_or_nonpdf,own
openalex_seed_matches,Real time control of multi-agent mobile robots with intelligent collision avoidance system,2013,,title_search,,https://pure.hud.ac.uk/en/publications/real-time-control-of-multi-agent-mobile-robots-with-intelligent-c,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2013_real-time-control-of-multi-agent-mobile-robots-with-intelligent-collision-avoidance-system.pdf,already_exists,own
openalex_seed_matches,Intelligent Collision Avoidance for Multi Agent Mobile Robots,2014,https://doi.org/10.1007/978-3-319-04702-7_17,title_search,,https://doi.org/10.1007/978-3-319-04702-7_17,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2014_intelligent-collision-avoidance-for-multi-agent-mobile-robots.pdf,already_exists,own
openalex_seed_matches,Integral Lqr-Based 6dof Autonomous Quadrocopter Balancing System Control,2015,https://doi.org/10.14569/ijarai.2015.040502,title_search,http://thesai.org/Downloads/IJARAI/Volume4No5/Paper_2-Integral_Lqr-Based_6dof_Autonomous_Quadrocopter_Balancing_System_Control.pdf,https://doi.org/10.14569/ijarai.2015.040502,downloaded,/mnt/data/ros/session/artifacts/full_papers_pdf/2015_integral-lqr-based-6dof-autonomous-quadrocopter-balancing-system-control.pdf,ok,own
openalex_seed_matches,Design and implementation of auto car driving system with collision avoidance,2018,https://doi.org/10.1080/23311916.2018.1485458,title_search,,https://doi.org/10.1080/23311916.2018.1485458,failed,,exhausted_or_nonpdf,own
openalex_seed_matches,Trajectory Tracking Control of a Quadcopter UAV Using Nonlinear Control,2018,https://doi.org/10.1007/978-3-319-89911-4_20,title_search,,https://doi.org/10.1007/978-3-319-89911-4_20,failed,,exhausted_or_nonpdf,own
openalex_seed_matches,UKF-based enhancement and ROS implementation of 4-WDDMR localization with advanced control system,2018,https://doi.org/10.1080/23311916.2018.1481561,title_search,,https://doi.org/10.1080/23311916.2018.1481561,failed,,exhausted_or_nonpdf,own
openalex_seed_matches,Using the Bees Algorithm for wheeled mobile robot path planning in an indoor dynamic environment,2018,https://doi.org/10.1080/23311916.2018.1426539,title_search,,https://doi.org/10.1080/23311916.2018.1426539,failed,,exhausted_or_nonpdf,own
openalex_seed_matches,Adaptive LQ-Based Computed-Torque Controller for Robotic Manipulator,2019,https://doi.org/10.1109/eiconrus.2019.8657317,title_search,,https://doi.org/10.1109/eiconrus.2019.8657317,failed,,exhausted_or_nonpdf,own
